Word,Type,Definition1,Definition2,Example,Synonym
linkod,verb,sit,servant?,"ah diay, sulod ug lingkod sila",
sama sa,expression,its like,like,,
loud,adjective,gross,disgusting,,
kasal,noun,marriage,wedding,,
apo,noun,grandchild,,,
guol,verb,sad,,tanawon nag guol siya,
kami,,we,us,,kita
novyembre,month,november,,,
igusuon,noun,sibling,,,
sala,expression,sin,,nakabuhat ko ug gamay nga sala,
suplado,,stubborn,,,
salida,noun,movie,,,
badlung,verb,expose,to call someone out,,
kuyog,,go with,,,
karne,,meat,,,
hipon,animal,shrimp,,,
karon,adverb,now,today,Asa na ka karon?,"adlawa,dayon"
sana all,expression,good for them,amazing,,
pahumot,noun,perfume,,kusog ang imong pahumot,
lumos,verb,drown,,,
payat,adjective,thin,skinny,,
unsa,5Ws,what,,nag unsa ka?,
linog,noun,earthquake,,,
kaka,animal,spider,,,
pas-pas,expression,fast,,,
nabilin,noun,leftover,survivor,nabilin na pagkaon,
kapay,noun,fin,,,
atong,pronoun,their,theirs,mu punit ta atong pagkaon ganiha mag adto ta sa dagat,
gabii,,evening,night,,
linkoranan,noun,chair,,,
pud,expression,too,as well,ok lang pud,
tutuk,verb,focus,concentrate,tutukan ka sa ang dula!,tanaw
among,pronoun,our,implicate,adto ta sa among balay karon,-
dagat,,sea,,,
reyalidad,noun,reality,,,
pilian,adjective,picky,,,
layo,expression,far,distant,layo ang dagat gikan diri,-
sine,,movie theatre,cinema,,
batasan,adjective,personality,,Sila batasan bati,
laag-laag,verb,walk,stroll,adto ta laag-laag sa merkado,suroy-suroy
ulaw,verb,shy,,ulaw-on siya,
matay,verb,die,,,
ikaw,pronoun,you,-,-,ka
langit,noun,sky,heaven,,
bata,expression,child,,,
hilaw,adjective,raw,un-ripe,gusto ko ang YouTube Channel kay 'Bisayan Hilaw',-
sab,expression,too,as well,maayo sab,
paminta,,pepper,,,
dalunggan,body,ear,,,
ulahi,,late,,,
pabuto,noun,firework,,gusto ka sa mga pabuto?,
tiyan,body,stomach,,"Sakit akong tiyan, bidli ko",
buotan,,good,,,maayo
way sapayan,expression,you're welcome,no problem,,
tagae ko,verb,give me,,tagae ko imong silhig paki,
kutsara,noun,spoon,,,
akong,pronoun,my,mine,,
